Date,NoDur,Manuf,BusEq,Shops,Hlth,Benchmark
1939-12-01,0.031800,0.034800,0.039200,0.030500,0.037700,0.034800
1940-01-01,0.016900,-0.062400,-0.042700,-0.009500,-0.017900,-0.023120
1940-02-01,0.009400,0.023200,0.004000,0.025100,0.014900,0.015320
1940-03-01,0.016600,0.011400,0.033900,0.031000,0.019100,0.022400
1940-04-01,0.017500,0.008400,-0.023800,-0.001300,-0.003100,-0.000460
1940-05-01,-0.209500,-0.237600,-0.212200,-0.244700,-0.212700,-0.223340
1940-06-01,0.054000,0.034000,0.044700,0.090300,0.049300,0.054460
1940-07-01,-0.000200,0.049800,0.056800,0.043900,-0.005200,0.029020
1940-08-01,0.013400,0.032100,0.027300,0.029000,-0.022900,0.015780
1940-09-01,0.025300,0.046200,0.044300,0.033300,0.046200,0.039060
1940-10-01,-0.014200,0.079500,0.022800,0.000800,-0.030000,0.011780
1940-11-01,-0.010000,0.007100,-0.041300,-0.022100,-0.018600,-0.016980
1940-12-01,0.005400,0.005000,0.003400,0.004200,-0.002300,0.003140
1941-01-01,-0.005200,-0.074100,-0.022400,-0.036400,-0.021900,-0.032000
1941-02-01,-0.025000,-0.016000,-0.002600,-0.025400,-0.047100,-0.023220
1941-03-01,0.005600,0.001500,-0.002200,0.012100,0.017800,0.006960
1941-04-01,-0.041300,-0.069800,-0.088500,-0.052500,-0.052200,-0.060860
1941-05-01,-0.014100,0.037500,-0.002400,0.022700,-0.014700,0.005800
1941-06-01,0.062900,0.061700,0.105700,0.050900,0.067200,0.069680
1941-07-01,0.055400,0.078600,0.013500,0.047400,0.080400,0.055060
1941-08-01,0.008300,-0.007900,0.008500,0.023900,0.000800,0.006720
1941-09-01,0.017800,-0.031400,-0.015300,0.004300,-0.002100,-0.005340
1941-10-01,-0.070600,-0.067500,-0.107600,-0.052000,-0.037200,-0.066980
1941-11-01,-0.031900,-0.023100,-0.023400,-0.045600,-0.029600,-0.030720
1941-12-01,-0.039500,0.015200,-0.007400,-0.098400,-0.016000,-0.029220
1942-01-01,0.025400,0.013000,0.020100,0.006500,-0.030200,0.006960
1942-02-01,-0.055000,-0.008600,-0.025400,-0.019300,-0.054100,-0.032480
1942-03-01,-0.082900,-0.046700,-0.055900,-0.070900,-0.055400,-0.062360
1942-04-01,-0.040900,-0.063600,-0.033900,-0.059000,-0.044400,-0.048360
1942-05-01,0.087800,0.007100,0.077200,0.118200,0.147800,0.087620
1942-06-01,0.035200,0.030500,0.037600,0.025300,0.028500,0.031420
1942-07-01,0.024200,0.035000,0.019100,0.049600,0.016000,0.028780
1942-08-01,0.008000,0.012200,0.018300,0.017200,0.024400,0.016020
1942-09-01,-0.000600,0.028700,0.045900,0.006700,0.002600,0.016660
1942-10-01,0.045100,0.065600,0.070400,0.006000,0.041400,0.045700
1942-11-01,0.027000,-0.037400,0.014800,0.066700,0.015800,0.017380
1942-12-01,0.047400,0.052100,0.064900,0.027500,0.087100,0.055800
1943-01-01,0.091500,0.083000,0.109000,0.069300,0.024700,0.075500
1943-02-01,0.036200,0.062100,0.046800,0.030900,0.036500,0.042500
1943-03-01,0.043700,0.083200,0.074600,0.087200,0.045700,0.066880
1943-04-01,0.010400,-0.017800,0.012600,0.018800,0.014000,0.007600
1943-05-01,0.065700,0.046700,0.065500,0.075200,0.059900,0.062600
1943-06-01,0.020600,0.011500,0.031300,0.056000,-0.006600,0.022560
1943-07-01,-0.018800,-0.070100,-0.081400,-0.031500,-0.033200,-0.047000
1943-08-01,0.009400,0.004900,0.010600,0.037600,0.002600,0.013020
1943-09-01,0.021800,0.027400,0.053700,0.021600,0.040200,0.032940
1943-10-01,-0.002700,-0.001600,-0.036700,-0.024100,0.005900,-0.011840
1943-11-01,-0.045800,-0.074700,-0.066300,-0.045200,-0.039400,-0.054280
1943-12-01,0.061500,0.076200,0.080400,0.069300,0.039500,0.065380
